Timestamp_ms,Speed_kmh,RPM,Fuel_Percent,Engine_Temp_C
1751400091011,59.57,1421,13.7,81.3
1751400091072,82.58,4768,64.6,88.2
1751400091135,57.85,4954,28.9,91.3
1751400091211,37.13,670,23.2,85.1
1751400091272,80.71,2248,69.3,97.2
1751400091335,80.52,1818,26.9,97.9
1751400091397,90.06,3817,12.8,93.8
1751400091459,17.14,4389,25.7,89.5
1751400091522,24.97,1392,59.7,91.6
1751400091585,31.81,2348,72.1,84.1
1751400091647,108.70,4997,65.8,88.5
1751400091709,13.47,1919,11.2,85.8
1751400091773,102.55,3879,83.1,90.3
1751400091837,9.96,2679,77.1,99.5
1751400091899,74.30,2725,69.4,92.6
1751400091962,110.16,4890,23.5,86.2
1751400092040,45.10,3285,28.5,96.2
1751400092102,92.87,5401,37.3,90.9
1751400092164,119.87,1179,10.8,88.8
1751400092225,46.93,3802,40.5,89.7
1751400092286,115.83,3819,83.2,84.3
1751400092350,104.35,4614,66.6,96.6
1751400092412,45.99,5146,54.1,85.5
1751400092474,70.31,3043,67.6,98.1
1751400092536,45.47,5219,87.1,95.5
1751400092599,100.16,2260,61.5,81.9
1751400092661,7.28,5497,72.3,81.0
1751400092724,67.24,3496,68.4,83.4
1751400092786,66.48,3282,13.0,89.5
1751400092847,32.82,1710,40.7,95.0
1751400092909,60.87,5065,17.8,90.1
1751400092972,117.23,4831,81.2,85.8
1751400093034,31.07,1057,58.3,99.0
1751400093096,52.28,1451,21.5,99.6
1751400093158,4.81,4566,38.6,89.1
1751400093220,10.64,2047,58.8,91.1
1751400093281,115.26,2354,43.1,81.3
1751400093345,21.33,2195,81.2,89.4
1751400093407,71.94,3744,38.5,98.1
1751400093470,77.58,4851,85.8,90.6
1751400093533,113.09,3257,81.0,92.9
1751400093596,93.28,1216,15.1,96.2
1751400093658,111.94,2108,92.9,95.0
1751400093720,79.98,4407,29.6,91.4
1751400093781,103.81,1460,11.3,92.2
1751400093842,108.30,2267,88.6,84.2
1751400093903,99.74,738,50.5,97.0
1751400093966,19.49,1962,44.2,82.9
1751400094028,7.30,775,77.6,83.6
1751400094090,68.44,4763,5.3,93.6
1751400094151,13.41,3411,23.1,97.8
1751400094214,38.10,5476,10.2,95.0
1751400094278,4.02,3279,87.4,94.9
1751400094341,72.23,5483,93.7,93.0
1751400094403,105.79,2498,12.6,88.1
1751400094467,28.41,1231,55.8,95.7
1751400094529,30.95,1432,52.0,91.7
1751400094592,58.87,824,59.1,81.3
1751400094654,80.29,3367,15.5,98.0
1751400094717,15.29,5148,78.1,83.0
1751400094781,25.18,3963,74.7,88.6
1751400094844,55.60,2921,20.0,87.9
1751400094904,28.42,2062,45.5,94.3
1751400094967,19.94,3013,92.0,93.1
1751400095031,113.26,2538,53.2,87.0
1751400095094,98.30,4504,52.1,98.9
1751400095157,27.71,2154,68.2,95.5
1751400095220,76.99,3406,9.9,83.0
1751400095282,86.88,3788,45.9,92.4
1751400095345,56.45,4277,90.3,82.8
1751400095407,107.40,3519,59.7,83.1
1751400095470,8.07,5370,33.2,93.0
1751400095534,56.31,1922,53.8,89.6
1751400095596,90.43,1923,5.8,99.3
1751400095658,102.63,4810,73.9,82.6
1751400095721,34.67,2579,91.1,84.5
1751400095783,52.23,1819,83.9,99.8
1751400095845,104.49,2624,39.6,94.8
1751400095908,110.91,4745,45.0,81.2
1751400095970,47.20,5378,54.8,86.5
1751400096031,102.89,2476,38.7,82.5
1751400096095,13.65,1084,83.3,86.4
1751400096156,91.98,1061,24.6,91.3
1751400096218,89.51,4501,25.5,85.5
1751400096280,9.20,649,77.0,87.9
1751400096343,94.41,3258,88.3,95.0
1751400096405,2.49,3844,41.6,80.1
1751400096467,57.43,3951,76.2,87.7
1751400096529,6.72,1775,44.9,96.3
1751400096590,13.03,3791,75.3,90.3
1751400096652,90.12,5170,61.3,94.6
1751400096714,79.16,5009,85.8,94.5
1751400096777,17.14,3435,74.9,82.5
1751400096838,86.81,1206,44.5,88.2
1751400096900,93.65,4519,57.9,85.9
1751400096963,28.02,4514,13.5,81.1
1751400097026,38.87,1997,10.2,84.4
1751400097088,99.46,1006,60.7,97.5
1751400097150,25.26,4853,90.3,86.2
1751400097212,37.08,1819,66.8,97.1
1751400097290,44.53,4576,59.1,88.8
1751400097351,27.49,2244,85.9,95.3
1751400097414,21.07,3169,87.4,82.7
1751400097477,5.20,3323,92.7,97.5
1751400097539,64.63,1446,19.0,86.5
1751400097601,82.39,2992,39.4,93.2
1751400097663,14.93,717,14.3,82.0
1751400097725,11.80,3837,70.6,90.5
1751400097789,0.69,2492,42.7,87.8
1751400097850,97.92,4462,55.0,94.6
1751400097913,56.39,1538,75.1,97.3
1751400097977,61.93,1786,24.4,92.3
1751400098040,9.34,3550,27.9,80.6
1751400098102,58.35,1324,85.0,94.9
1751400098165,99.28,1609,20.8,97.0
1751400098242,89.88,1322,25.4,99.7
1751400098305,105.42,3574,77.0,87.1
1751400098367,107.28,5480,79.4,82.9
1751400098429,44.65,3575,59.1,96.3
1751400098492,63.31,3812,18.6,82.4
1751400098569,33.30,5021,8.2,87.1
1751400098633,109.32,4849,70.6,80.2
1751400098695,110.59,3140,57.7,92.8
1751400098758,101.33,4922,72.1,90.5
1751400098822,56.96,5248,70.3,87.7
1751400098885,12.14,2196,63.3,99.3
1751400098948,58.96,1899,33.4,91.4
1751400099011,90.95,5118,83.7,96.8
1751400099072,106.24,2273,18.1,98.4
1751400099135,89.22,5123,75.6,99.9
1751400099211,27.77,4570,7.1,89.1
1751400099273,97.82,2809,6.9,99.9
1751400099335,20.34,2570,16.2,88.8
1751400099399,113.61,723,81.1,88.1
1751400099463,81.61,2302,64.1,89.2
1751400099525,89.48,3458,15.5,94.7
1751400099601,53.07,1260,79.2,81.4
1751400099666,106.98,894,55.7,97.6
1751400099729,68.01,4557,16.4,87.4
1751400099791,80.30,2002,67.7,82.8
1751400099868,38.27,5198,11.3,98.5
1751400099930,87.96,4804,46.0,84.5
1751400099994,29.48,1203,53.2,83.0
1751400100056,118.27,3201,65.9,99.6
1751400100118,64.14,3682,58.2,93.3
1751400100181,78.25,1235,68.0,94.1
1751400100244,93.62,4685,75.3,95.7
1751400100319,110.10,2235,84.8,82.4
1751400100382,74.69,1539,49.3,86.3
1751400100444,116.42,5049,61.9,80.9
1751400100506,69.01,2157,47.4,84.6
1751400100569,49.29,2341,17.2,89.1
1751400100631,43.04,4446,6.6,84.6
1751400100692,90.85,4218,82.7,99.8
1751400100754,8.55,2163,74.4,91.0
1751400100816,119.79,1939,86.7,97.2
1751400100878,87.14,5344,72.9,98.5
1751400100940,57.29,1424,56.6,83.0
1751400101003,48.35,1637,37.6,81.1
1751400101066,24.66,1461,31.5,82.2
1751400101128,78.75,2438,78.3,86.9
1751400101189,25.91,684,69.2,87.5
1751400101252,37.56,5210,86.9,98.5
1751400101315,1.74,2807,10.0,94.5
1751400101379,45.11,1799,67.3,83.5
1751400101441,87.61,1574,7.9,98.0
1751400101503,17.95,3451,64.5,91.0
1751400101565,34.77,5382,45.9,80.9
1751400101627,52.34,4732,29.9,85.5
1751400101690,119.68,2263,37.0,98.3
1751400101753,78.48,2563,15.9,82.9
1751400101815,72.24,1607,22.9,93.0
1751400101877,40.66,4057,43.3,95.9
1751400101939,83.56,635,40.0,97.7
1751400102002,57.69,1611,8.3,96.9
1751400102065,20.54,1592,69.4,95.2
1751400102127,45.23,671,27.0,90.6
1751400102189,21.04,2119,75.8,94.0
1751400102251,29.20,1823,36.7,91.1
1751400102314,85.66,2003,69.3,87.1
1751400102378,33.95,1513,20.5,93.4
1751400102440,13.40,1199,23.3,93.0
1751400102502,35.65,957,9.0,91.5
1751400102564,45.36,1207,26.9,96.5
1751400102626,0.05,4967,81.6,87.2
1751400102688,74.66,3777,47.1,98.1
1751400102751,92.72,2606,48.5,88.0
1751400102813,94.18,5039,16.5,80.6
1751400102876,46.37,5083,55.2,88.3
1751400102939,59.70,4715,26.6,99.8
1751400103002,108.92,1482,42.0,82.5
1751400103064,22.96,5376,71.4,80.5
1751400103125,32.30,1614,57.2,85.3
1751400103186,41.28,5274,33.5,98.4
1751400103249,26.24,943,40.5,95.7
1751400103312,75.68,795,18.1,85.6
1751400103375,92.67,5487,25.3,96.7
1751400103437,60.55,2483,57.8,84.2
1751400103499,53.72,4304,25.7,90.7
1751400103562,22.45,1446,65.7,89.8
